"DateUsedForStatisticsYear","DateUsedForStatisticsISO","weekly_rainfll_mean","wekly_temp_mean","ILI_per_100000_00_04","ILI_per_100000_05_14","ILI_per_100000_15_64","ILI_per_100000_65_plus","ILINumberOfCases_per_100000"
2006,"2006-W19",1.42921177667318,10.8796384969534,"9.394081729","0","0","5.98372427","1.33185054"
2006,"2006-W20",7.83235785729963,11.148822163043,"0","9.228923446","0.956260638","0","1.94342055"
2006,"2006-W21",5.68173929843862,9.87443334860541,"0","0","2.853989878","5.791058606","2.577867717"
2006,"2006-W22",0.163686563951777,11.1225188356787,"0","0","1.919220029","11.6829254","2.600306836"
2006,"2006-W23",0.38505916521606,15.7340111095144,"0","0","2.017613768","0","1.366811093"
2006,"2006-W24",0.364121651062247,13.8869534596417,"8.946944618","4.517936207","2.808725775","0","3.171240653"
2006,"2006-W25",2.7798932512487,12.6376464255683,"0","4.660918201","0.965884944","0","1.308652154"
2006,"2006-W26",0.925840930420091,13.7431247239375,"0","0","2.272469038","0","1.539456264"
2006,"2006-W27",2.22379320026555,15.2742084392853,"18.15541031","0","0","0","0.821807483"
2006,"2006-W28",0.591527252057982,14.6612199523826,"0","0","2.096941611","0","1.420545347"
2006,"2006-W29",1.48229010990191,17.167436030579,"0","0","0","0","0"
2006,"2006-W30",2.6492203208725,16.7497321081763,"0","0","0.980719063","0","0.664376781"
2006,"2006-W31",1.79770498006994,15.3965701536053,"0","0","1.910657648","0","1.294347584"
2006,"2006-W32",0.784382067239235,14.6907162486167,"0","0","1.012996748","0","0.686242889"
2006,"2006-W33",2.99837333624391,14.0921207403503,"0","0","4.162634115","6.334726973","3.524899893"
2006,"2006-W34",1.79148644408954,14.5128772247219,"0","0","3.137911197","0","2.125729834"
2006,"2006-W35",4.55401718584488,14.5774779377675,"0","0","1.87248385","0","1.268496261"
2006,"2006-W36",2.3897938701618,14.9842676472174,"8.946944618","4.517936207","2.808725775","0","3.171240653"
2006,"2006-W37",2.94686802131831,14.976216064593,"0","4.696599662","3.893133486","0","3.296674315"
2006,"2006-W38",7.10950944636546,14.7206685635543,"0","0","1.87248385","0","1.268496261"
2006,"2006-W39",3.34382966196023,14.2684887336045,"8.946944618","0","7.489935399","0","5.708233175"
2006,"2006-W40",3.3784262200016,12.8608749961558,"8.710801394","4.683840749","1.81151216","0","2.484317744"
2006,"2006-W41",2.82225011029609,13.4621383780457,"0","4.584211974","9.751340809","11.01200308","8.510069235"
2006,"2006-W42",3.69290976542134,13.2856644255177,"0","4.584211974","3.545942112","0","3.039310441"
2006,"2006-W43",5.08811683747909,11.2590082732489,"0","0","9.757222562","0","6.690509209"
2006,"2006-W44",0.653545461595086,10.0228674105222,"0","0","3.545942112","11.01200308","3.647172529"
2006,"2006-W45",1.35130020214985,10.6023859651996,"17.05029838","0","5.318913169","0","4.862896706"
2006,"2006-W46",4.99895032976838,8.42547477777556,"0","0","8.177209209","5.643340858","6.230141424"
2006,"2006-W47",6.94549459922242,8.25909566349049,"26.64298401","0","8.310939967","5.735589332","8.231651333"
2006,"2006-W48",6.46039320549546,10.2447272297302,"8.646031472","0","10.78865034","0","8.014253041"
2006,"2006-W49",6.81490025202082,8.22896896216381,"0","0","6.332434731","0","4.342135462"
2006,"2006-W50",6.45379085116146,8.94084690388641,"17.05029838","4.584211974","7.978369753","5.506001542","7.902207147"
2006,"2006-W51",1.0411266500131,7.06929089585918,"0","4.584211974","11.52431187","11.01200308","9.725793412"
2006,"2006-W52",4.18896143683266,8.65402721108634,"0","4.584211974","16.84322503","5.506001542","12.76510385"
2007,"2007-W01",3.59927057173154,8.67545998051688,"8.630361612","4.64058657","19.74262792","0","14.76823107"
2007,"2007-W02",5.56259895162777,9.11229772597263,"8.52514919","9.168423948","16.84322503","0","13.37296594"
2007,"2007-W03",5.74221720531792,7.69965822741426,"0","4.584211974","23.93510926","5.506001542","17.62800056"
2007,"2007-W04",1.28026067794465,5.44666266354697,"17.05029838","0","29.25402243","11.01200308","22.49089727"
2007,"2007-W05",0.220187264797793,6.87201535503748,"34.60806368","27.91216971","49.47911981","11.17505727","41.33021609"
2007,"2007-W06",3.56970265471226,4.83153543093024,"8.672274738","37.30299357","63.12049703","39.20470456","53.17471604"
2007,"2007-W07",3.95533931679644,7.55865200712372,"74.80674923","62.57262894","74.33080666","26.84131415","67.56276225"
2007,"2007-W08",4.9654606857921,8.29153423269016,"8.428150021","54.38230762","77.9956007","21.77226214","63.69732952"
2007,"2007-W09",4.04801743060242,8.02425894128356,"66.49488821","26.81684098","55.31594914","42.94610264","50.96839959"
2007,"2007-W10",6.01783220454707,8.06076336365181,"16.62372205","31.28631447","25.06503946","16.10478849","24.29888818"
2007,"2007-W11",2.53465393820469,8.51934675804501,"16.78838244","4.513653803","14.83847879","0","11.97024198"
2007,"2007-W12",1.92880429103744,6.0492989725999,"0","0","11.23605217","5.36826283","8.297181329"
2007,"2007-W13",0.671982627946042,7.95321317416886,"8.426729586","4.53124292","6.133786649","0","5.40761392"
2007,"2007-W14",0.0763174416395018,8.51623445821695,"0","0","10.37174046","16.10478849","8.889837138"
2007,"2007-W15",0.173875029793496,9.84286186329717,"0","0","1.86454109","0","1.278510791"
2007,"2007-W16",0.438315115986331,10.8348951791204,"0","0","1.793159098","0","1.229558588"
2007,"2007-W17",2.44768074934555,11.6026102235175,"0","0","0","0","0"
2007,"2007-W18",0.498982445877373,12.5565331964746,"8.622176237","0","1.793159098","0","1.844337883"
2007,"2007-W19",3.91741754335329,10.8684893957919,"0","0","0.896579549","0","0.614779294"
2007,"2007-W20",3.0172938825131,11.1303382178305,"0","0","1.793159098","0","1.229558588"
2007,"2007-W21",1.16087000270154,10.5781270843143,"0","0","0.90492005","0","0.620505215"
2007,"2007-W22",4.24252641510512,10.9946303077986,"0","0","0","0","0"
